DLL injected!
CBaseViewModel->m_bShouldIgnoreOffsetAndAccuracy: 29a0
CBaseGrenade->m_flDamage: 29a8
CBaseGrenade->m_DmgRadius: 2994
CBaseGrenade->m_bIsLive: 2991
CBaseGrenade->m_hThrower: 29b0
CBaseGrenade->m_vecVelocity: 114
CBaseGrenade->m_fFlags: 104
CBaseCombatWeapon->m_iPrimaryAmmoType: 326c
CBaseCombatWeapon->m_iSecondaryAmmoType: 3270
CBaseCombatWeapon->m_nViewModelIndex: 3244
CBaseCombatWeapon->m_bFlipViewModel: 32d4
CBaseCombatWeapon->m_iWeaponOrigin: 32d8
CBaseCombatWeapon->m_iWeaponModule: 325c
CBaseCombatWeapon->LocalWeaponData: 0
CBaseCombatWeapon->m_flNextPrimaryAttack: 3248
CBaseCombatWeapon->m_flNextSecondaryAttack: 324c
CBaseCombatWeapon->m_nNextThinkTick: fc
CBaseCombatWeapon->m_flTimeWeaponIdle: 3284
CBaseCombatWeapon->LocalActiveWeaponData: 0
CBaseCombatWeapon->m_iViewModelIndex: 3250
CBaseCombatWeapon->m_iWorldModelIndex: 3254
CBaseCombatWeapon->m_iWorldDroppedModelIndex: 3258
CBaseCombatWeapon->m_iState: 3268
CBaseCombatWeapon->m_hOwner: 3240
CBaseCombatWeapon->m_iClip1: 3274
CBaseCombatWeapon->m_iClip2: 3278
CBaseCombatWeapon->m_iPrimaryReserveAmmoCount: 327c
CBaseCombatWeapon->m_iSecondaryReserveAmmoCount: 3280
CBaseCombatWeapon->m_hWeaponWorldModel: 3264
CBaseCombatWeapon->m_iNumEmptyAttacks: 3260
CBaseWeaponWorldModel->m_nModelIndex: 258
CBaseWeaponWorldModel->m_nBody: a20
CBaseWeaponWorldModel->m_fEffects: f0
CBaseWeaponWorldModel->moveparent: 148
CBaseWeaponWorldModel->m_hCombatWeaponParent: 2a00
